year	pi	strategic target	objective	rag
2025	PI2	24/7 availability	Stable, secure & compliant core infrastructure	On track
2025	PI2	24/7 availability	Optimize infrastructure for cost-effectiveness	At risk
2025	PI2	24/7 availability	Excellence in development and operations	Not on track
2025	PI2	Competitive customer satisfaction and brand trust	Improve customer experience and UI/UX	On track
2025	PI2	Competitive customer satisfaction and brand trust	Enhance product features and capabilities	At risk
2025	PI2	Competitive customer satisfaction and brand trust	Build trusted and transparent operations	Not on track
2025	PI2	Competitive return on investment capital — ROE with market leading C/I	Drive revenue growth initiatives	On track
2025	PI2	Competitive return on investment capital — ROE with market leading C/I	Optimize operational costs	At risk
2025	PI2	Competitive return on investment capital — ROE with market leading C/I	Improve capital allocation efficiency	Done
2025	PI2	Employee engagement	Foster inclusive and engaging workplace culture	On track
2025	PI2	Employee engagement	Invest in employee development and growth	At risk
2025	PI2	Employee engagement	Enhance compensation and benefits	On hold
2025	PI2	Solid risk management & compliance	Ensure future-ready regulatory compliance	On track
2025	PI2	Solid risk management & compliance	Strengthen cybersecurity and data protection	At risk
2025	PI2	Solid risk management & compliance	Implement robust risk management frameworks	Not on track
2025	PI2	Solid risk management & compliance	Maintain operational resilience	On track
2025	PI3	24/7 availability	Stable, secure & compliant core infrastructure	On track
2025	PI3	24/7 availability	Optimize infrastructure for cost-effectiveness	At risk
2025	PI3	24/7 availability	Excellence in development and operations	Not on track
2025	PI3	24/7 availability	Implement automated monitoring and alerting	At risk
2025	PI3	24/7 availability	Scale infrastructure for growth	On track
2025	PI3	24/7 availability	Reduce technical debt	At risk
2025	PI3	24/7 availability	Improve disaster recovery capabilities	Not on track
2025	PI3	24/7 availability	Enhance platform reliability	At risk
2025	PI3	Competitive customer satisfaction and brand trust	Improve customer experience and UI/UX	On track
2025	PI3	Competitive customer satisfaction and brand trust	Enhance product features and capabilities	At risk
2025	PI3	Competitive customer satisfaction and brand trust	Build trusted and transparent operations	Not on track
2025	PI3	Competitive customer satisfaction and brand trust	Strengthen customer support channels	At risk
2025	PI3	Competitive customer satisfaction and brand trust	Increase customer engagement	Not on track
2025	PI3	Competitive customer satisfaction and brand trust	Improve brand perception and trust	At risk
2025	PI3	Competitive customer satisfaction and brand trust	Deliver personalized customer experiences	TBD
2025	PI3	Competitive customer satisfaction and brand trust	Expand market reach	Not on track
2025	PI3	Competitive customer satisfaction and brand trust	Accelerate time-to-market for new features	At risk
2025	PI3	Competitive return on investment capital — ROE with market leading C/I	Drive revenue growth initiatives	On track
2025	PI3	Competitive return on investment capital — ROE with market leading C/I	Optimize operational costs	At risk
2025	PI3	Competitive return on investment capital — ROE with market leading C/I	Improve capital allocation efficiency	On track
2025	PI3	Competitive return on investment capital — ROE with market leading C/I	Enhance pricing strategies	At risk
2025	PI3	Competitive return on investment capital — ROE with market leading C/I	Increase operational efficiency	At risk
2025	PI3	Competitive return on investment capital — ROE with market leading C/I	Reduce cost-to-income ratio	Not on track
2025	PI3	Competitive return on investment capital — ROE with market leading C/I	Maximize return on technology investments	Not on track
2025	PI3	Employee engagement	Foster inclusive and engaging workplace culture	On track
2025	PI3	Employee engagement	Invest in employee development and growth	Not on track
2025	PI3	Employee engagement	Enhance compensation and benefits	Done
2025	PI3	Employee engagement	Improve work-life balance initiatives	TBD
2025	PI3	Solid risk management & compliance	Ensure future-ready regulatory compliance	On track
2025	PI3	Solid risk management & compliance	Strengthen cybersecurity and data protection	At risk
2025	PI3	Solid risk management & compliance	Implement robust risk management frameworks	Not on track
2025	PI3	Solid risk management & compliance	Maintain operational resilience	On track
2025	PI3	Solid risk management & compliance	Enhance fraud detection and prevention	At risk
2025	PI3	Solid risk management & compliance	Improve third-party risk management	Not on track
2025	PI3	Solid risk management & compliance	Strengthen data governance	On track
2025	PI3	Solid risk management & compliance	Ensure business continuity planning	At risk
2025	PI3	Solid risk management & compliance	Implement advanced threat intelligence	At risk
2025	PI3	Solid risk management & compliance	Maintain regulatory reporting excellence	On track
2025	PI3	Solid risk management & compliance	Enhance internal controls	At risk
2025	PI3	Solid risk management & compliance	Improve audit readiness	Not on track
2025	PI3	Solid risk management & compliance	Strengthen identity and access management	At risk
2025	PI3	Solid risk management & compliance	Implement privacy by design	On track
2025	PI3	Solid risk management & compliance	Enhance incident response capabilities	At risk
2025	PI3	Solid risk management & compliance	Improve compliance training programs	Not on track
2025	PI3	Solid risk management & compliance	Strengthen vendor security assessments	At risk
2025	PI3	Solid risk management & compliance	Maintain data classification standards	TBD
2025	PI3	Solid risk management & compliance	Enhance security monitoring	Not on track
2026	PI1	24/7 availability	Next-gen infrastructure architecture	TBD
2026	PI1	24/7 availability	Cloud optimization initiative	TBD
2026	PI1	Competitive customer satisfaction and brand trust	Digital transformation roadmap	TBD
2026	PI1	Employee engagement	Future of work strategy	TBD
